34.0,11.0,4.8,14.4,9.3,22.4
34.2,10.5,5.2,15.2,8.8,22.7
35.0,10.4,5.0,14.4,9.4,23.9
32.8,10.2,5.1,15.2,9.1,24.1
35.2,10.5,5.1,15.5,8.8,22.6
34.3,12.2,4.8,15.1,15.4,24.2
32.2,12.2,5.2,15.0,13.2,23.6
32.0,13.1,5.2,14.5,12.1,24.6
29.7,14.3,5.2,14.4,9.5,23.4
29.1,16.3,5.0,14.7,8.7,23.2
27.8,17.9,5.0,15.1,8.5,24.4
27.8,19.4,4.8,15.0,8.5,24.0
25.5,20.4,4.8,14.5,9.1,25.0
23.3,20.2,4.8,15.3,8.8,25.0
22.2,23.5,9.7,15.6,9.0,24.8
22.0,22.6,9.6,15.7,8.2,24.3
19.1,25.3,9.9,14.6,9.0,38.8
18.5,26.3,4.6,15.0,9.0,38.5
17.6,28.9,4.6,15.8,8.8,39.5
16.6,28.0,4.6,16.0,8.7,36.1
14.3,29.0,4.9,16.0,8.1,99.2
13.1,32.4,4.9,16.0,8.1,97.6
11.6,32.1,4.6,15.4,9.1,96.0
51.4,33.1,4.6,16.1,9.6,36.7
64.4,28.8,4.9,14.9,8.7,32.1
70.1,29.8,5.0,16.2,6.9,24.8
72.5,24.1,5.4,15.9,5.4,17.5
76.9,21.9,5.7,16.4,7.7,16.8
72.5,22.2,6.0,16.2,8.9,16.7
75.9,22.4,6.7,15.3,7.1,22.0
70.2,23.1,7.1,16.2,5.8,20.1
70.7,23.3,4.7,15.3,4.4,19.7
70.7,25.1,2.9,14.9,3.3,25.1
66.5,25.0,3.4,14.4,1.7,24.9
68.2,27.4,4.0,13.5,4.2,23.4
68.3,29.8,4.4,12.3,5.4,23.4
63.8,29.7,2.2,11.7,7.4,21.9
61.2,32.6,0.3,11.7,8.2,22.8
60.9,32.1,1.0,11.3,33.5,21.4
57.2,36.7,1.6,10.2,31.0,20.0
59.5,38.3,2.0,12.3,32.2,26.7
58.9,41.3,2.7,14.2,30.0,25.5
54.8,45.4,3.2,13.4,28.2,115.4
